"id","year","major_head","estimate_type","major_category","minor_category","sub_category","amount"
294,"2019-2020","6001","Budget","Borrowings","Short Term Borrowings","91 Days Treasury Bills Repayment",-524343.22
295,"2019-2020","6001","Budget","Borrowings","Short Term Borrowings","182 Days Treasury Bills Gross Borrowings",312168.86
296,"2019-2020","6001","Budget","Borrowings","Short Term Borrowings","182 Days Treasury Bills Repayments",-310119.02
297,"2019-2020","6001","Budget","Borrowings","Short Term Borrowings","364 Days Treasury Bills Gross Borrowings",192344.66
298,"2019-2020","6001","Budget","Borrowings","Short Term Borrowings","364 Days Treasury Bills Repayments",-190396.0
299,"2019-2020","6001","Budget","Borrowings","Short Term Borrowings","Cash Management Bills Gross Borrowings",100000.0
300,"2019-2020","6001","Budget","Borrowings","Short Term Borrowings","Cash Management Bills Repayments",-100000.0
301,"2019-2020","6001","Budget","Borrowings","Short Term Borrowings","Ways & Means Advances Gross Borrowings",500000.0
302,"2019-2020","6001","Budget","Borrowings","Short Term Borrowings","Ways & Means Advances Repayments",-500000.0
303,"2019-2020","6001","Budget","Securities against Small Savings","Receipts","Ways & Means Advances ",152268.32
304,"2019-2020","6001","Budget","Securities against Small Savings","Repayments","Ways & Means Advances ",-22268.32
305,"2019-2020","8009","Budget","State Provident Funds","Receipts","Ways & Means Advances ",77000.0
306,"2019-2020","8009","Budget","State Provident Funds","Disbursements","Ways & Means Advances ",-59000.0
307,"2019-2020","6001","Budget","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Receipts ",""
308,"2019-2020","6001","Budget","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Disbursements ",-14.37
309,"2019-2020","6001","Budget","Other Receipts (Internal Debts and Public Account)","Saving Bonds","Receipts ",27273.95
310,"2019-2020","6001","Budget","Other Receipts (Internal Debts and Public Account)","Saving Bonds","Disbursements ",-1823.18
311,"2019-2020","6001","Budget","Other Receipts (Internal Debts and Public Account)","Other (Gold Bonds, Gold Monetisation etc.)","Receipts ",5000.0
312,"2019-2020","6001","Budget","Other Receipts (Internal Debts and Public Account)","Other (Gold Bonds, Gold Monetisation etc.)","Disbursements ",""
313,"2019-2020","9002","Budget","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Receipts ",1564804.08
314,"2019-2020","9002","Budget","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Disbursements ",-1534136.1
315,"2019-2020","9002","Budget","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Less Receipts ",""
316,"2019-2020","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Receipts",100.01
317,"2019-2020","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Repayments",-1000.0
318,"2019-2020","6001","Budget","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Less Receipts netted",-583.78
